Nama,Kategori,Popularity,gambar,halaman,Jalan,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Provinsi,Kontak
Pesona Desa Cipelah,Scenery,popular,,PesonaCipelah.html,,Cipelah,Rancabali,Kabupaten Bandung,Jawa Barat,83822889826
Ciherang Riverside Rancabali Campground,Camping,most-visited,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CiherangRiverside1.jpg,CiherangRiverside.html,,Cipelah,Rancabali,Kabupaten Bandung,Jawa Barat,81313411590
Kebun Kopi,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunKopi.jpeg,KebunKopi.html,,Cibuni,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,
Kebon Pinus,Scenery,popular,,KebonPinus.html,,Cipelah,Rancabali,Kabupaten Bandung,Jawa Barat,
Kampung Cipuspa,Scenery,popular,,KampungCipuspa.html,,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,
Spot Teletubies,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_SpotTeletubbies.jpg,SpotTeletubies.html,Unnamed Road,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,
Spot Swiss Cibuni,Scenery,most-visited,,SpotSwissCibuni.html,,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,
Negeri Diatas Awan Rancabali,Scenery,most-visited,,NegeriAwan.html,Unnamed Road,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,81277439444
Kelok Sarebu,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KelokSarebu.png,KelokSarebu.html,,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,
Wisata Kebun Rasmala,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunRasmala.png,KebunRasmala.html,Jl. Cikadu,Sukaresmi,Rancabali,Kabupaten Bandung,Jawa Barat,
Camping Ground Nyampay,Camping,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CGNyampay.jpg,CampingNyampay.html,Camping ground Nyampay,Indragiri,Rancabali,Kabupaten Bandung,Jawa Barat,83863817257
Ranca Upas Ciwidey,Camping,most-visited,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_RancaUpas1.jpg,RancaUpas.html,Jl. Camp Ranca Upas,Patengan,Rancabali,Kabupaten Bandung,Jawa Barat,81359569984
Kawah Putih,Mountain,most-visited,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KawahPutih1.jpg,KawahPutih.html,Jl. Ciwidey Patengan Km 11 Lebakmuncang,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,81220068486
Bukit Jamur Rancabolang Pasirjambu,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_BukitJamurRancabolang.jpg,BukitJamur.html,,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,
Kebun Teh Rancabolang,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunTehRancabolang1.jpg,KebunTehRancabolang.html,,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,
Curug Siliwangi Cihejo,Waterfall,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CurugSiliwangiCihejo.jpg,CurugSiliwangi.html,,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,
Curug Cipanji,Waterfall,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CurugCipanji.png,CurugCipanji.html,,Margamulya,Pasirjambu,Kabupaten Bandung,Jawa Barat,89618712789
Perkebunan Teh Dewata,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunTehDewata.jpg,PerkebunanDewata.html,,Sugihmukti,Pasirjambu,Kabupaten Bandung,Jawa Barat,40972
Sunrise Point Cukul,Scenery,most-visited,,SunriseCukul.html,Jl. Cukul,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,40378
WARA'AS,Scenery,popular,,Waraas.html,,Warnasari,Pangalengan,Kabupaten Bandung,Jawa Barat,81312856926
Taman Langit Pangalengan (Sunrise Point & Camping Ground),Camping,most-visited,,TamanLangit.html,Kp. Puncak Mulya,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,8112131220
Epic view.pujasp,Scenery,popular,,EpicView.html,Jl. Talegong,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,
Cukul Atas,Scenery,popular,,CukulAtas.html,Jl. Cukul,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,
Cukul Campsite,Camping,popular,,CukulCampsite.html,Jl. Cukul,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,85974779204
Curug Congeang,Waterfall,popular,,CurugCongeang.html,,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,
Curug Muara Pangalengan,Waterfall,popular,,CurugMuara.html,,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,
Air Terjun Leutik,Waterfall,popular,,CurugLeutik.html,,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,
Curug Cilaki Pangalengan,Waterfall,most-visited,,CurugCilaki.html,,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,
Kedaton Bukit Panyawangan Pangalengan,Scenery,popular,,BukitPanyawangan.html,Jl. Cukul,Sukaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,82127354855
Situ Datar Buana,Scenery,popular,,SituDatarBuana.html,Perkebunan Jl. Pasir Malang,Margaluyu,Pangalengan,Kabupaten Bandung,Jawa Barat,
Wanasari Campingground,Camping,popular,,WanasariCamping.html,,Warnasari,Pangalengan,Kabupaten Bandung,Jawa Barat,85659531196
C-Rafting Pangalengan,Scenery,most-visited,,CRafting.html,Jl. Situ Cileunca No.KM. 4,Sukamanah,Pangalengan,Kabupaten Bandung,Jawa Barat,
Situ Cileunca Pangalengan Bandung,Scenery,most-visited,,SituCileunca.html,Jl. Situ Cileunca No.19,Pulosari,Pangalengan,Kabupaten Bandung,Jawa Barat,85318888668
Situ Cileunca Camping,Camping,popular,,SituCileuncaCamping.html,,Pulosari,Pangalengan,Kabupaten Bandung,Jawa Barat,85727901825
Nusa Manona,Scenery,popular,,NusaManona.html,,Cieurih,Pangalengan,Kabupaten Bandung,Jawa Barat,82151150997
NIMO Highland,Scenery,most-visited,,NimoHighland.html,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,81120060980
Nimo Eye,Scenery,popular,,NimoEye.html,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,81120060980
Teh Jangkung Malabar,Scenery,popular,,TehJangkung.html,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,82120360713
Kebun Teh Pangalengan,Scenery,most-visited,,KebunTehPangalengan.html,Jl. Babakan No.2,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,
Curug Banjarsari,Waterfall,popular,,CurugBanjarsari.html,Unnamed Road,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,
Curug Cilaki Luhur,Waterfall,popular,,CurugCilakiLuhur.html,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,
Wayang windu Panenjoan,Scenery,most-visited,,WayangWindu.html,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,85333339048
Kawah Wayang,Mountain,popular,,KawahWayang.html,,Sukamanah,Pangalengan,Kabupaten Bandung,Jawa Barat,881024000000
Kolam Air Panas Sukaratu Pangalengan,Scenery,popular,,Sukaratu.html,,Banjarsari,Pangalengan,Kabupaten Bandung,Jawa Barat,
Wisata Hutan Pinus PAKAWA (Paniisan Karuhun Wa Hyang),Scenery,popular,,Pakawa.html,Jl. Raya Pajaten,Tarumajaya,Kertasari,Kabupaten Bandung,Jawa Barat,82121390539
Bukit Paesan,Scenery,popular,,BukitPaesan.html,Kp.Citawa,Tarumajaya,Kertasari,Kabupaten Bandung,Jawa Barat,82128491866
Nuansa Riung gunung Pangalengan,Scenery,popular,,RiungGunung.html,,Riunggunung,Pulosari,Pangalengan,Kabupaten Bandung,Jawa Barat,81294411209
Hutan Pinus Rahong,Scenery,most-visited,,Rahong.html,,Pulosari,Pangalengan,Kabupaten Bandung,Jawa Barat,
Wisata Gunung Puntang,Mountain,most-visited,,GunungPuntang.html,Gunung Puntang Desa,Pasirmulya,Banjaran,Kabupaten Bandung,Jawa Barat,81224320001
Arjasari Rock Hills,Mountain,popular,,Arjasari.html,Jl. Wargaluyu,Wargaluyu,Arjasari,Kabupaten Bandung,Jawa Barat,82320209120
Wisata Alam Cileuweung,Scenery,popular,,Cileuweung.html,kp.ciruntah,Tribaktimulya,Pangalengan,Kabupaten Bandung,Jawa Barat,
WISATA ALAM SUNGAI CITALUTUG | DESA WISATA BAROS,Waterfall,popular,,Citalutug.html,Kp cibayongbong,Baros,Arjasari,Kabupaten Bandung,Jawa Barat,85294087746
Curug Roda,Waterfall,popular,,CurugRoda.html,Cipatat Suka Sima,Mekarjaya,Pacet,Kabupaten Bandung,Jawa Barat,
Curug Eti,Waterfall,popular,,CurugEti.html,,Loa,Paseh,Kabupaten Bandung,Jawa Barat,
Mata Air Campaka,Scenery,popular,,Campaka.html,,Drawati,Paseh,Kabupaten Bandung,Jawa Barat,
Curug Akub,Waterfall,popular,,CurugAkub.html,Curug,Wargamekar,Baleendah,Kabupaten Bandung,Jawa Barat,83820092808
