Nama,Kategori,Popularity,gambar,halaman
Pesona Desa Cipelah,Scenery,popular,,PesonaCipelah.html
Ciherang Riverside Rancabali Campground,Camping,most-visited,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CiherangRiverside1.jpg,CiherangRiverside.html
Kebun Kopi,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunKopi.jpeg,KebunKopi.html
Kebon Pinus,Scenery,popular,,KebonPinus.html
Kampung Cipuspa,Scenery,popular,,KampungCipuspa.html
Spot Teletubies,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_SpotTeletubbies.jpg,SpotTeletubies.html
Spot Swiss Cibuni,Scenery,most-visited,,SpotSwissCibuni.html
Negeri Diatas Awan Rancabali,Scenery,most-visited,,NegeriAwan.html
Kelok Sarebu,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KelokSarebu.png,KelokSarebu.html
Wisata Kebun Rasmala,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunRasmala.png,KebunRasmala.html
Camping Ground Nyampay,Camping,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CGNyampay.jpg,CampingNyampay.html
Ranca Upas Ciwidey,Camping,most-visited,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_RancaUpas1.jpg,RancaUpas.html
Kawah Putih,Mountain,most-visited,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KawahPutih1.jpg,KawahPutih.html
Bukit Jamur Rancabolang Pasirjambu,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_BukitJamurRancabolang.jpg,BukitJamur.html
Kebun Teh Rancabolang,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunTehRancabolang1.jpg,KebunTehRancabolang.html
Curug Siliwangi Cihejo,Waterfall,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CurugSiliwangiCihejo.jpg,CurugSiliwangi.html
Curug Cipanji,Waterfall,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_CurugCipanji.png,CurugCipanji.html
Perkebunan Teh Dewata,Scenery,popular,https://raw.githubusercontent.com/claranvt/Image_WisataBandung/Alam/Alam_KebunTehDewata.jpg,PerkebunanDewata.html
Sunrise Point Cukul,Scenery,most-visited,,SunriseCukul.html
WARA'AS,Scenery,popular,,Waraas.html
Taman Langit Pangalengan (Sunrise Point & Camping Ground),Camping,most-visited,,TamanLangit.html
Epic view.pujasp,Scenery,popular,,EpicView.html
Cukul Atas,Scenery,popular,,CukulAtas.html
Cukul Campsite,Camping,popular,,CukulCampsite.html
Curug Congeang,Waterfall,popular,,CurugCongeang.html
Curug Muara Pangalengan,Waterfall,popular,,CurugMuara.html
Air Terjun Leutik,Waterfall,popular,,CurugLeutik.html
Curug Cilaki Pangalengan,Waterfall,most-visited,,CurugCilaki.html
Kedaton Bukit Panyawangan Pangalengan,Scenery,popular,,BukitPanyawangan.html
Situ Datar Buana,Scenery,popular,,SituDatarBuana.html
Wanasari Campingground,Camping,popular,,WanasariCamping.html
C-Rafting Pangalengan,Scenery,most-visited,,CRafting.html
Situ Cileunca Pangalengan Bandung,Scenery,most-visited,,SituCileunca.html
Situ Cileunca Camping,Camping,popular,,SituCileuncaCamping.html
Nusa Manona,Scenery,popular,,NusaManona.html
NIMO Highland,Scenery,most-visited,,NimoHighland.html
Nimo Eye,Scenery,popular,,NimoEye.html
Teh Jangkung Malabar,Scenery,popular,,TehJangkung.html
Kebun Teh Pangalengan,Scenery,most-visited,,KebunTehPangalengan.html
Curug Banjarsari,Waterfall,popular,,CurugBanjarsari.html
Curug Cilaki Luhur,Waterfall,popular,,CurugCilakiLuhur.html
Wayang windu Panenjoan,Scenery,most-visited,,WayangWindu.html
Kawah Wayang,Mountain,popular,,KawahWayang.html
Kolam Air Panas Sukaratu Pangalengan,Scenery,popular,,Sukaratu.html
Wisata Hutan Pinus PAKAWA (Paniisan Karuhun Wa Hyang),Scenery,popular,,Pakawa.html
Bukit Paesan,Scenery,popular,,BukitPaesan.html
Nuansa Riung gunung Pangalengan,Scenery,popular,,RiungGunung.html
Hutan Pinus Rahong,Scenery,most-visited,,Rahong.html
Wisata Gunung Puntang,Mountain,most-visited,,GunungPuntang.html
Arjasari Rock Hills,Mountain,popular,,Arjasari.html
Wisata Alam Cileuweung,Scenery,popular,,Cileuweung.html
WISATA ALAM SUNGAI CITALUTUG | DESA WISATA BAROS,Waterfall,popular,,Citalutug.html
Curug Roda,Waterfall,popular,,CurugRoda.html
Curug Eti,Waterfall,popular,,CurugEti.html
Mata Air Campaka,Scenery,popular,,Campaka.html
Curug Akub,Waterfall,popular,,CurugAkub.html
